trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,pursuit_saccade_isLeft,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,16.001712800003588,16.501854499801993,16.001712800003588,17.019982599886134,16.501854499801993,17.003535599913448,17.003535599913448,18.15426529990509,1.0,-506439.954398,14.969397439761087,regan_current,90,1,0,30,1,2021_Feb_25_1200,testDotsStepRampPilot,2020.2.5,59.88881041063247,
1,0,1,0,None,None,None,None,19.172356499824673,19.67228930001147,19.172356499824673,20.188883199822158,19.67228930001147,20.173522899858654,20.173522899858654,21.323724699905142,0.0,-506436.759108,18.171013859892263,regan_current,90,1,0,30,1,2021_Feb_25_1200,testDotsStepRampPilot,2020.2.5,59.88881041063247,
2,0,2,0,None,None,None,None,22.34265899984166,22.842716099927202,22.34265899984166,23.359891099855304,22.842716099927202,23.344520799815655,23.344520799815655,24.494528400013223,1.0,-506433.590204,21.340473259892313,regan_current,90,1,0,30,1,2021_Feb_25_1200,testDotsStepRampPilot,2020.2.5,59.88881041063247,
3,0,3,0,None,None,None,None,25.51143559999764,26.011893099872395,25.51143559999764,26.530106699792668,26.011893099872395,26.512057199841365,26.512057199841365,27.66395159997046,0.0,-506430.419383,24.511276960000394,regan_current,90,1,0,30,1,2021_Feb_25_1200,testDotsStepRampPilot,2020.2.5,59.88881041063247,
4,0,4,0,None,None,None,None,28.681883299956098,29.182496499968693,28.681883299956098,29.6985043999739,29.182496499968693,29.683400299865752,29.683400299865752,30.834109699819237,1.0,-506427.250002,27.68070015995763,regan_current,90,1,0,30,1,2021_Feb_25_1200,testDotsStepRampPilot,2020.2.5,59.88881041063247,
5,0,5,0,None,None,None,None,31.852417399873957,32.35215109982528,31.852417399873957,32.86963799991645,32.35215109982528,32.85206369985826,32.85206369985826,34.00317489984445,0.0,-506424.079571,30.850858259806408,regan_current,90,1,0,30,1,2021_Feb_25_1200,testDotsStepRampPilot,2020.2.5,59.88881041063247,
6,0,6,0,None,None,None,None,35.01937090000138,35.52393239992671,35.01937090000138,36.05604199995287,35.52393239992671,36.04069049982354,36.04069049982354,37.19076499994844,1.0,-506420.911824,34.019923459831624,regan_current,90,1,0,30,1,2021_Feb_25_1200,testDotsStepRampPilot,2020.2.5,59.88881041063247,
7,0,7,0,None,None,None,None,38.20898639992811,38.7086316999048,38.20898639992811,39.22565699997358,38.7086316999048,39.20817240001634,39.20817240001634,40.359849100001156,1.0,-506417.722936,37.20751355993561,regan_current,90,1,0,30,1,2021_Feb_25_1200,testDotsStepRampPilot,2020.2.5,59.88881041063247,
8,0,8,0,None,None,None,None,41.377187999896705,41.878788199974224,41.377187999896705,42.39556459989399,41.878788199974224,42.37825209996663,42.37825209996663,43.53012639982626,0.0,-506414.553869,40.37659765998833,regan_current,90,1,0,30,1,2021_Feb_25_1200,testDotsStepRampPilot,2020.2.5,59.88881041063247,
9,0,9,0,None,None,None,None,44.545969899976626,45.04657040000893,44.545969899976626,45.56576839997433,45.04657040000893,45.54740609996952,45.54740609996952,46.70017919992097,0.0,-506411.38395,43.54687495981343,regan_current,90,1,0,30,1,2021_Feb_25_1200,testDotsStepRampPilot,2020.2.5,59.88881041063247,
10,0,10,0,None,None,None,None,47.717982599977404,48.21808739984408,47.717982599977404,48.73414449999109,48.21808739984408,48.71875619981438,48.71875619981438,49.86987159983255,0.0,-506408.213748,46.71692775990814,regan_current,90,1,0,30,1,2021_Feb_25_1200,testDotsStepRampPilot,2020.2.5,59.88881041063247,
11,0,11,0,None,None,None,None,50.890154199907556,51.404027899960056,50.890154199907556,51.92074789991602,51.404027899960056,51.90505599998869,51.90505599998869,53.05579199991189,0.0,-506405.042683,49.88662015981972,regan_current,90,1,0,30,1,2021_Feb_25_1200,testDotsStepRampPilot,2020.2.5,59.88881041063247,
12,0,12,0,None,None,None,None,54.07494939980097,54.59169009979814,54.07494939980097,55.10781339998357,54.59169009979814,55.09189649997279,55.09189649997279,56.24225699994713,0.0,-506401.858113,53.07254055989906,regan_current,90,1,0,30,1,2021_Feb_25_1200,testDotsStepRampPilot,2020.2.5,59.88881041063247,
13,0,13,0,None,None,None,None,57.26037969999015,57.76274939998984,57.26037969999015,58.295805899892,57.76274939998984,58.27812839997932,58.27812839997932,59.445207099895924,0.0,-506398.671965,56.2590055599343,regan_current,90,1,0,30,1,2021_Feb_25_1200,testDotsStepRampPilot,2020.2.5,59.88881041063247,
14,0,14,0,None,None,None,None,60.461084299953654,60.96427769982256,60.461084299953654,61.483409999869764,60.96427769982256,61.46462539979257,61.46462539979257,62.61760339979082,1.0,-506395.469379,59.461955659883095,regan_current,90,1,0,30,1,2021_Feb_25_1200,testDotsStepRampPilot,2020.2.5,59.88881041063247,
15,0,15,0,None,None,None,None,63.63743559992872,64.15155679988675,63.63743559992872,64.67000539996661,64.15155679988675,64.65047749993391,64.65047749993391,65.80490049999207,0.0,-506392.296931,62.634351959777995,regan_current,90,1,0,30,1,2021_Feb_25_1200,testDotsStepRampPilot,2020.2.5,59.88881041063247,
